p_felony_count_person,p_misdem_count_person,p_charge_violent,p_current_age,p_age_first_offense,p_juv_fel_count,p_felprop_violarrest,p_murder_arrest,p_felassault_arrest,p_misdemassault_arrest,p_famviol_arrest,p_sex_arrest,p_weapons_arrest,p_n_on_probation,p_current_on_probation,p_prob_revoke,p_charge,p_arrest,p_jail30,p_prison30,p_prison,p_probation,recid
0,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,29,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,7,1,21,20,0,1,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,1
0,1,0,19,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,2,40,36,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0
0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,6,7,39,19,0,5,0,0,1,0,0,3,3,0,1,21,31,0,2,2,3,1
1,3,3,40,29,0,0,0,1,1,0,0,0,0,0,0,5,4,0,0,0,2,0
0,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,19,18,0,0,0,0,0,0,0,0,0,NA,0,2,3,0,0,0,0,1
0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,21,18,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,1
0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,45,43,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1
3,11,5,29,22,0,1,0,0,2,0,0,0,1,NA,0,14,19,0,0,0,0,1
0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,3,23,18,0,1,0,0,1,0,0,0,0,0,0,5,4,0,0,0,1,0
3,8,0,28,18,0,0,0,0,0,0,0,1,0,0,0,11,17,0,0,0,3,1
0,5,1,29,21,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1
15,4,0,62,28,0,0,0,0,0,0,0,1,0,0,0,21,20,0,0,0,0,1
0,2,1,18,18,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1
0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,23,18,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1
3,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
1,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
1,1,1,40,32,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,1,0
0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0
8,8,4,42,20,0,1,0,1,1,0,1,2,0,NA,NA,16,19,0,1,1,0,0
8,8,4,42,20,0,1,0,1,1,0,1,2,0,NA,NA,16,19,0,1,1,0,0
0,0,0,46,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,2,24,19,0,1,0,1,0,0,0,0,0,0,0,12,14,0,0,0,0,1
4,1,4,33,32,0,4,0,0,0,0,0,0,0,NA,0,5,3,0,0,0,0,0
3,7,1,23,18,0,1,0,0,0,0,0,0,0,0,0,10,17,0,0,0,1,1
0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,11,7,27,19,0,0,0,2,5,0,0,1,4,0,0,16,25,0,0,0,4,1
5,2,0,30,25,0,0,0,0,0,0,0,0,1,0,0,7,15,0,0,0,4,1
0,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,25,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,26,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,13,11,30,21,0,2,0,1,1,0,0,0,4,0,0,17,18,0,0,0,1,0
2,4,1,36,18,0,1,0,0,0,0,0,0,0,0,0,6,7,1,2,2,0,0
23,32,6,50,24,0,0,0,1,5,0,0,0,9,0,2,60,79,0,4,5,5,0
2,9,0,46,29,0,0,0,0,0,0,0,2,0,0,0,11,12,0,0,0,0,1
0,7,1,23,16,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
0,7,1,23,16,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
0,7,1,24,16,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
0,7,0,30,23,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,1,1
0,1,0,22,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16,25,1,31,15,3,1,0,0,0,0,0,1,16,1,0,41,79,0,2,2,4,1
0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,19,18,0,1,0,0,0,0,0,0,0,NA,0,2,3,0,0,0,0,0
0,7,0,48,38,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0
0,0,0,33,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,27,23,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1
0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,1,48,23,0,0,0,1,0,0,0,0,0,0,0,9,10,0,0,0,2,0
19,14,10,26,19,0,3,0,0,0,0,0,0,4,0,0,33,52,0,1,1,2,0
14,24,1,34,18,0,0,0,0,0,0,0,0,4,0,0,42,78,0,2,2,4,0
0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12,5,23,18,0,3,0,1,1,0,0,0,1,0,0,18,38,0,1,2,2,1
5,18,5,33,17,1,1,0,0,2,0,0,0,7,0,1,23,37,0,0,0,3,1
0,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,32,26,0,0,0,0,0,0,0,0,0,NA,0,5,6,0,0,0,0,1
0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,17,19,46,19,0,11,0,0,0,0,0,0,3,NA,NA,47,52,0,11,11,0,1
0,3,0,31,30,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,0
3,0,0,61,52,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
3,1,0,29,21,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,1,0
6,15,0,28,18,0,0,0,0,0,0,0,0,3,0,0,21,36,0,0,0,5,0
1,3,0,21,20,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1
0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,30,22,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0
0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,46,35,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0
10,4,10,50,26,0,0,0,8,0,0,0,0,1,NA,0,14,18,0,2,2,0,0
0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,32,21,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
10,9,1,60,31,0,1,0,0,0,0,0,1,2,NA,0,19,25,1,7,7,0,1
0,4,2,31,20,0,0,0,0,2,0,0,0,0,0,0,4,3,0,0,0,0,0
10,14,4,25,17,1,0,0,1,1,0,0,1,1,0,0,24,34,0,0,0,3,1
1,9,3,35,21,0,0,0,0,2,0,0,0,0,0,0,10,9,0,0,0,0,1
12,4,8,43,16,6,6,0,0,1,0,0,0,3,0,0,17,17,0,7,7,2,0
0,3,1,20,18,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,1
0,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,18,15,0,1,0,0,0,0,0,0,0,NA,NA,4,2,0,0,0,0,0
0,5,2,26,19,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,1
4,7,6,27,19,0,0,0,2,0,0,0,0,3,1,0,12,13,0,0,0,1,0
0,0,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,25,17,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,1
1,11,2,26,17,0,0,0,1,1,0,0,0,0,0,0,12,6,0,0,0,0,0
0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,0,42,26,0,0,0,0,0,0,0,0,0,0,0,7,14,0,3,3,0,1
6,6,1,43,26,0,1,0,0,0,0,0,0,0,0,0,12,18,1,3,3,0,0
0,1,0,19,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,0,29,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,36,27,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2,2,0,22,13,0,0,0,0,0,0,0,0,1,0,1,4,7,0,0,0,1,0
0,7,0,26,22,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1
1,9,0,26,22,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,1
4,0,2,25,12,0,2,0,0,0,0,0,0,0,NA,0,5,4,0,0,0,0,1
0,0,0,39,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,23,22,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
2,1,2,37,31,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0
2,6,1,49,48,0,1,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0
0,2,0,19,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,24,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,1,4,25,25,0,1,0,2,0,0,0,0,0,NA,0,6,6,0,1,1,0,1
5,1,4,25,25,0,1,0,2,0,0,0,0,0,NA,0,6,6,0,1,1,0,1
5,0,1,57,50,0,1,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0
0,4,1,30,25,0,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,0
0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,38,21,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0
0,0,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,6,26,19,0,2,0,2,2,0,0,0,0,0,0,11,21,0,1,1,0,1
6,10,6,27,19,0,2,0,2,2,0,0,0,0,0,0,16,26,0,1,1,0,1
